Video ID,Comment id,Comment creation time,Comment number of likes,Comment content,Replies,Video title,Video channel,Video creation time,Video number of views
5GWhwUN9iaY,Ugw40oIM6_xEsy6hFBB4AaABAg,2021-02-27T00:17:16Z,23,"Suffering
Through
Endless
Maths","['hahahahahaaa', 'Yep', 'In my stem class we don’t even do math we just do engineering (for example we built a  bridge)']",STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,Ugxrv1wYFkSUuIkJw6d4AaABAg,2019-10-03T01:31:07Z,33,"I’m going stem school focused on that my school is amazing it has so many different classes that I can take I’m only in middle school and this is AMAZING I am doing way better with my grades, I have an A in math while when I went to a normal public school I was getting an F In math I’m glad to say stem schools are amazing",,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,Ugz9Ts1rnId7I71S_kZ4AaABAg,2018-12-03T01:40:19Z,14,"Contrary to what people say,  that don't want to put forth the effort, STEM education is the way to go for the future.  China and Japan realize this and have their children at the front of the line.  It is best to start early.  My stem education started early in about the third grade.  We built model airplanes and flew them during recess.  We also built electromagnets, and other such science projects.  We had regular science shows come to the school.   My favorite was the crystal radio which actually worked.  From there I was hooked on electronics.  This in turn lead me to become a federally licensed Radio/Telecommunications Engineer.  I enjoyed a very rewarding career.","['I\'ll have to disagree on this one Roger.  Although the Chinese start early in STEM (I will not comment on the Japanese here) their graduates often lack the ability to think ""Out of the box\'.  In my time (25+years in radio/telco engineering) I have interviewed many Chinese candidates often with \'Masters\' qualifications only to find that when thrown a \'real life curve ball problem\' they lack the capacity critically and creativity think and solve problems i.e when posed with practical radio propagation challenges they are all to quick to cite Maxwell, Rayleigh or Okumura-Hata yet miss the the real life/operational implications, solutions or considerations.  My jury is well and truely out on the Chinese (and Indian) educational systems, they appear to be very transmissionist in nature thus lacking many of the constructivist properties such as those detailed a time 00:50 of this video:)']",STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UggfSQcYcAm14ngCoAEC,2017-04-04T13:22:16Z,17,DO NOT LET DISCOURAGING WORDS STOP U NOTHING STOPS US!!!,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgyLMNs-l-Q_vYyUkOV4AaABAg,2020-09-01T11:08:43Z,4,WOW WHAT A GREAT VIDEO MY KIDS ARE DOING WELL IN STEM  CLASS,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,Ugi6PjMeXuQId3gCoAEC,2017-04-27T11:16:23Z,20,I did that competition!! MY SCHOOL GOT 1ST PLACE COMPARE TO OTHER SCHOOL!! YAYYYY THE COMPETITION IS SO COOL!,"['Why are you acting like a student?', '@@Recon_Fi cuz she probably is one like me :p', 'plz can i contact u']",STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgjVF-YTNejXgXgCoAEC,2016-08-25T21:19:30Z,117,why does the narrator sound like he was reading a piece of paper,"['Eric Tieu Haha perfect', 'Eric Tieu she probably was 😁', 'xd1/1/2018 <3 12;59', ""I don't know"", 'She']",STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgjQKk0C0wTiMngCoAEC,2015-08-13T09:32:59Z,2,thank you for the easy-to-understand explanation!,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgyzoHrkSe68on_Xt3R4AaABAg,2019-06-08T14:17:14Z,3,I’m doing STEM it’s pretty fun at my school,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgzWqJDxIwoEo9aR-7N4AaABAg,2018-05-23T08:34:01Z,0,Wow I have to learn stem education in my sch ool from next month June. ....,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgwBPhuxjFmC1E_ugE94AaABAg,2020-05-14T00:49:21Z,0,Explain how  STEM concept used by Johnson Matthey to address the issue for the awareness of young people.?,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,Ugxj3ao1hHN3U8A1XCx4AaABAg,2018-08-02T19:45:28Z,2,"Individual working will be very important because, Robutts",,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgxLbXSfptbK11ekcU94AaABAg,2019-03-27T02:05:42Z,23,"Well, I would be a STEM graduate!",,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgwhF3l8nfWtPMsu9It4AaABAg,2019-05-21T08:32:52Z,4,Good vid,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgxDLTmV75_IHXadHVt4AaABAg,2018-11-16T11:23:36Z,1,please can you write definition of stem now only,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,Ugx0npQp5SaV1kAVtw14AaABAg,2022-10-17T12:07:28Z,0,I am loving this video😄😃keep it up👌🤟,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,Ugy3AIbaFCzksOqBjst4AaABAg,2022-01-28T14:29:53Z,3,"1 what are the eligibility to take stem after 12th?

2 how many courses can we choose in stem? Do we choose course ourself in stem?

3 is it possible to take biology related course in stem after 12th without biology?",,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgwikoKIzzOF-w3vSzZ4AaABAg,2020-09-13T13:52:04Z,2,It is easy and motivational,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgwZJr_d50acL3XR7vZ4AaABAg,2020-05-12T12:17:47Z,0,I will do it,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgxhZkwXpYw5QwQgrbF4AaABAg,2021-08-27T23:22:41Z,2,In my stem class we don’t even do math we just do engineering (for example we built a  bridge),,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,Ugw_knJfkwg65170a4R4AaABAg,2021-04-07T00:07:18Z,4,"As if English would ever be important enough to represent the E. E is for engineering, the meaningful application of science and math to develop technologies.",,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,Ugg_SC7f4rIlJXgCoAEC,2015-03-06T00:09:52Z,0,"Watch: ""The Global Water Crisis: POU Water Filters -- The Balanced Equation HQ"" on YouTube.  This video introduces an interdisciplinary unit entitled: ""STEM-ming The Global Drinking Water Crisis"" which is loaded with great hands-on STEM activities.  Read the description below the video.",,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,Ugz-zIo6pKcSoHtNZdJ4AaABAg,2022-08-29T20:20:10Z,0,Great video,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgyC5gFym-Nh0zgn_kJ4AaABAg,2020-02-24T09:47:36Z,0,"I am trying to study trignometry and died , tried calculus again died , tried to attempt genetics with organic chemistry alas died and i am in 7th standard (well trigmometry and genetics came out fine)",,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgwwuqSbKC2ACOcRGfd4AaABAg,2018-09-07T10:36:06Z,1,"All these comments talking about the lack of opportunities for STEM graduates in America which got me thinking ""if its that hard to get a job as a stem student in America....... Then how about the Philippines?!?!"" Cause I'm a Filipino and I can tell you that yes, opportunities here are very lacking.",['You need to know the language'],STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgxS1aTrjnwc8VUm0X54AaABAg,2020-09-17T01:24:07Z,1,STEM Education is the next future education,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgzxrnwC2UwN4PNXyoF4AaABAg,2018-08-27T02:14:26Z,3,We have stem at my school and I don’t go to it 😂 I feel offended.,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,Ugx-_M14A-sb_wYvoL54AaABAg,2021-09-04T09:52:11Z,0,"my all honor to this work, and please korean cc plesase. thankyou",,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgyrKI9tIfeWGN7YnRJ4AaABAg,2018-05-29T21:49:54Z,0,"Its seems all nice, but how much is art involved?","[""Criss Popovski tons! my son is in a stem school. there's band and art along with art club and drama...etc...very big if interested"", 'Plenty. I go to a STEM School, we hire subject professionals to teach. One of whom is an art professor.', 'Because its not mentioned, it would be a lot better if its called stema maybe', 'Thats STEAM', '@Red Manchester well a video game is actually built on these education branches, so there you have it']",STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgxQlX8NWllQJYFDH8x4AaABAg,2019-03-08T20:55:49Z,0,I danced at the tuner about this,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,Ugw3gNKmH-ZXPUFYCKx4AaABAg,2018-02-27T20:59:35Z,0,I have to pick a community for high school today.. I wonder what I'll get.. I'll come back next year to reveal my choice to my old self,"['So what did you choose', 'whatd u choose', 'What did you chose']",STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgxLhEJg3GP1xZ69zq94AaABAg,2023-06-27T16:45:04Z,0,Codes and departments.,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgyR-hit-LNGxlyaRUV4AaABAg,2023-01-25T16:05:29Z,0,شكرا جدا,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,Ugyyh5hTs-O3cAgPq4x4AaABAg,2018-01-27T20:18:19Z,2,"Actually it's S.T.E.A.M. science,  technology,  engineering, art, and mathematics because of language arts they just put arts","['Sunny I LOVE WINGS OF FIRE \nNo they didn’t', 'You are absolutely correct.']",STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgypJaTOVd5QxES6Dp14AaABAg,2020-09-13T13:39:01Z,0,We should learn STEM education. Prem Kumar N.P.S Tarwa Izra,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgwyriSPaw0V01ByIgR4AaABAg,2020-04-18T17:01:52Z,1,"Well, I got rejected from my proposal to a STEM program. I guess that's it for me.",,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgxXkCpPpUGTqcBAuhd4AaABAg,2018-03-06T01:35:08Z,0,I'm doing stem tomorrow is the compitition,['plz help me in this regard'],STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgxUTDrjbLwHOo5ycvB4AaABAg,2019-08-12T17:14:02Z,3,"If some kid told me they were in STEM I would never hire them, buzzwords are not professional.",,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgyFTlHhXygfaHbMM6h4AaABAg,2019-06-20T11:59:56Z,2,Math is a Science.,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgyMfJEtOJuBp3v45Zp4AaABAg,2022-03-14T19:14:41Z,0,Very Nice Video Go A Head,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,UgzS19z1qrtY_d5eZMJ4AaABAg,2018-08-26T17:59:22Z,9,my teacher made me wach this '.-'.,['Same'],STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
5GWhwUN9iaY,Ugy9EpuoI5d38YWZlk94AaABAg,2019-08-28T00:53:26Z,2,Why did I get this in my recommendation ..,,STEM Education Overview,BBHCSD Media,2014-04-16T19:59:53Z,681821
